5. Èþíü 2011 | 20:45:22 | - SpawnKill = 0
5. Èþíü 2011 | 20:45:22 | - CapsLock = 0
5. Èþíü 2011 | 20:45:22 | - 3DSpeed = 0
5. Èþíü 2011 | 20:45:22 | - MaxSpeed = 0
5. Èþíü 2011 | 20:45:22 | - AdminImmunity = 1
5. Èþíü 2011 | 20:45:22 | - Advertisement = 0
5. Èþíü 2011 | 20:45:22 | - FreezeUpdate = 1
5. Èþíü 2011 | 20:45:22 | - SpawnTime = 10
5. Èþíü 2011 | 20:45:22 | - CheckpointTeleport = 1
5. Èþíü 2011 | 20:45:22 | - Airbreak = 1
5. Èþíü 2011 | 20:45:22 | - TankMode = 1
5. Èþíü 2011 | 20:45:22 | - WarnPlayers = 0
5. Èþíü 2011 | 20:45:22 | 0 IP-bans have been loaded.
5. Èþíü 2011 | 20:45:22 | 0 temporary bans have been loaded.
5. Èþíü 2011 | 20:45:22 | 1 whitelist entries have been loaded.
5. Èþíü 2011 | 20:45:22 | 0 blacklist entries have been loaded.
5. Èþíü 2011 | 20:45:22 | 8 bad words have been loaded.
5. Èþíü 2011 | 20:45:22 | 7 forbidden weapons have been loaded.
5. Èþíü 2011 | 20:45:22 | JunkBuster has been configurated.
5. Èþíü 2011 | 20:45:22 | JunkBuster óñïåøíî çàïóùåí!.
5. Èþíü 2011 | 20:57:57 | Current JunkBuster configuration:
5. Èþíü 2011 | 20:57:57 | - WeaponHack = 1
5. Èþíü 2011 | 20:57:57 | - MoneyHack = 1
5. Èþíü 2011 | 20:57:57 | - Jetpack = 1
5. Èþíü 2011 | 20:57:57 | - HealthHack = 0
5. Èþíü 2011 | 20:57:57 | - ArmourHack = 0
5. Èþíü 2011 | 20:57:57 | - DriveBy = 1
5. Èþíü 2011 | 20:57:57 | - Spam = 1
5. Èþíü 2011 | 20:57:57 | - CommandSpam = 1
5. Èþíü 2011 | 20:57:57 | - BadWords = 1
5. Èþíü 2011 | 20:57:57 | - CarJackHack = 1
5. Èþíü 2011 | 20:57:57 | - TeleportHack = 1
5. Èþíü 2011 | 20:57:57 | - MaxPing = 500
5. Èþíü 2011 | 20:57:57 | - SpectateHack = 1
5. Èþíü 2011 | 20:57:57 | - Blacklist = 1
5. Èþíü 2011 | 20:57:58 | - IpBans = 1
5. Èþíü 2011 | 20:57:58 | - TempBans = 1
5. Èþíü 2011 | 20:57:58 | - SpawnKill = 0
5. Èþíü 2011 | 20:57:58 | - CapsLock = 0
5. Èþíü 2011 | 20:57:58 | - 3DSpeed = 0
5. Èþíü 2011 | 20:57:58 | - MaxSpeed = 0
5. Èþíü 2011 | 20:57:58 | - AdminImmunity = 1
5. Èþíü 2011 | 20:57:58 | - Advertisement = 0
5. Èþíü 2011 | 20:57:58 | - FreezeUpdate = 1
5. Èþíü 2011 | 20:57:58 | - SpawnTime = 10
5. Èþíü 2011 | 20:57:58 | - CheckpointTeleport = 1
5. Èþíü 2011 | 20:57:58 | - Airbreak = 1
5. Èþíü 2011 | 20:57:58 | - TankMode = 1
5. Èþíü 2011 | 20:57:58 | - WarnPlayers = 0
5. Èþíü 2011 | 20:57:58 | 0 IP-bans have been loaded.
5. Èþíü 2011 | 20:57:58 | 0 temporary bans have been loaded.
